customerID,orderID,product,quantity,firstname,lastname,country
senectus.et@yahoo.com,20210109,shoes,13,Ciara,Landry,Germany
nec.quam.curabitur@outlook.com,20200830,shoes,8,Geraldine,Byrd,Nigeria
senectus.et@outlook.edu,20200501,shoes,9,Myles,Michael,Belgium
in.lorem.donec@yahoo.couk,20201006,book,13,Stephanie,Wagner,Mexico
interdum.curabitur@icloud.couk,20201017,book,1,Shana,Sparks,India
imperdiet.nec@yahoo.edu,20200420,book,6,Kibo,Curry,Netherlands
non.magna.nam@yahoo.ca,20200420,plant,5,Medge,Nolan,Russian Federation
semper.rutrum@google.edu,20210107,plant,15,Basia,Avery,Netherlands
tristique.aliquet@protonmail.com,20200804,plant,2,Deirdre,Hart,Vietnam
amet.consectetuer@aol.com,20210127,shoes,0,Yoshio,Harvey,India
nec.tellus.nunc@google.ca,20200309,shoes,1,Larissa,Garrett,Netherlands
rhoncus.donec.est@icloud.org,20200520,shoes,17,Dorothy,Buchanan,Turkey
eu.augue.porttitor@yahoo.net,20200316,book,12,Gil,Browning,Peru
tempor.augue.ac@aol.couk,20200526,book,10,Leslie,Mclean,Colombia
morbi.accumsan@icloud.edu,20200703,book,6,Vance,Savage,Ireland
aenean@outlook.org,20201110,plant,14,Darrel,Adams,Italy
pellentesque@hotmail.org,20200616,plant,1,Eaton,Orr,Colombia
tellus.faucibus.leo@yahoo.couk,20210118,plant,9,Kibo,Barrett,Germany
egestas@google.net,20200225,shoes,8,Cody,Tate,Nigeria
pede@icloud.com,20200907,shoes,11,Quentin,Gibbs,Austria
quis@yahoo.org,20210125,shoes,7,Sydney,Horne,South Korea
aliquet.diam@hotmail.couk,20200602,book,20,Kirby,Copeland,Norway
curabitur.dictum@hotmail.ca,20200421,book,4,Zena,Flynn,Turkey
sit.amet.consectetuer@aol.edu,20201214,book,8,Pascale,Bradshaw,Peru
lorem.eu@hotmail.ca,20200510,plant,12,Jack,Nash,Colombia
lectus@icloud.ca,20200803,plant,1,Tanek,Jordan,Canada
natoque.penatibus@icloud.net,20201117,plant,8,Kermit,Nunez,Germany
phasellus.in@yahoo.edu,20200524,shoes,5,Kristen,Kline,Australia
duis.volutpat.nunc@protonmail.net,20200504,shoes,3,Karina,England,Australia
inceptos@hotmail.edu,20200308,shoes,2,Audra,Hall,Austria
feugiat.non@icloud.couk,20200222,book,2,Ferdinand,Roth,Mexico
nunc@hotmail.com,20200322,book,2,Maxwell,Bentley,Indonesia
ullamcorper.magna@google.net,20200427,book,6,Dean,Rojas,New Zealand
orci.consectetuer@google.org,20201006,plant,19,Basia,Blackburn,China
luctus.et.ultrices@outlook.couk,20200614,plant,8,Allen,Cortez,Belgium
at@hotmail.ca,20200621,plant,13,Chancellor,Woods,France
volutpat@yahoo.net,20200426,shoes,3,Noel,Young,Poland
sagittis.semper.nam@aol.org,20201202,shoes,1,Shelley,Combs,Nigeria
dictum.augue@protonmail.couk,20200623,shoes,16,Burton,Rocha,Costa Rica
imperdiet.dictum@hotmail.ca,20200317,book,6,Giacomo,Boyer,Sweden
pharetra.nam.ac@aol.couk,20200202,book,11,Raya,Beard,Australia
dictum.cursus.nunc@hotmail.com,20200605,book,9,Tad,Rivera,Colombia
sed.dictum@aol.com,20210121,plant,2,Natalie,Waters,Canada
quisque@hotmail.net,20200512,plant,14,Lacota,Montgomery,United States
